,Word,CEFR
7210,type,A1
7196,turn,A1
3075,habit,A1
3080,hair,A1
880,building,A1
7217,ugly,A1
878,build,A1
3081,haircut,A1
7220,umbrella,A1
872,bucket,A1
3078,had,A1
897,burger,A1
7194,turkey,A1
925,buy,A1
924,button,A1
923,butterfly,A1
922,butter,A1
3044,grow,A1
4930,pen,A1
918,but,A1
917,busy,A1
7177,try,A1
7181,tube,A1
911,business,A1
4911,peace,A1
907,bus,A1
3055,guess,A1
7183,Tuesday,A1
3056,guest,A1
4907,pay,A1
3064,guitar,A1
3041,group,A1
7408,vacation,A1
5258,prince,A1
6845,technology,A1
6319,soccer,A1
6321,social,A1
5894,same,A1
2165,egg,A1
2166,eight,A1
6328,sofa,A1
2167,eighteen,A1
2168,eighty,A1
2169,either,A1
5882,salad,A1
5880,sailor,A1
6345,solve,A1
6347,some,A1
6352,someone,A1
5867,sad,A1
6354,something,A1
5884,sale,A1
5864,'s,A1
6307,snowy,A1
6272,slow,A1
2131,easy,A1
2133,eat,A1
6276,small,A1
6277,smart,A1
6279,smell,A1
6281,smile,A1
5920,say,A1
6309,so,A1
6283,smith,A1
5917,saw,A1
5915,save,A1
6288,smoking,A1
1763,delicious,A1
5910,Saturday,A1
6292,snake,A1
6301,snow,A1
5901,sandwich,A1
6284,smoke,A1
2191,elementary,A1
6359,son,A1
6360,song,A1
6418,speech,A1
1664,dancing,A1
1662,dance,A1
6422,spell,A1
6426,spend,A1
2254,engineer,A1
5794,river,A1
5809,role,A1
2259,enjoy,A1
1647,dad,A1
5783,ring,A1
5776,right,A1
1635,cute,A1
1634,cut,A1
5771,ride,A1
1648,daddy,A1
1670,dark,A1
6406,special,A1
5816,room,A1
6363,soon,A1
1711,December,A1
2194,eleven,A1
6369,sorry,A1
5854,run,A1
2200,else,A1
5851,ruler,A1
6377,soup,A1
1698,dear,A1
5849,rule,A1
5842,rude,A1
5834,row,A1
1685,day,A1
5821,rose,A1
1682,daughter,A1
2234,end,A1
1678,date,A1
6404,speak,A1
2116,early,A1
2113,ear,A1
5944,school,A1
6253,sleep,A1
2003,doing,A1
2004,doll,A1
2005,dollar,A1
6037,sentence,A1
6150,show,A1
6153,shower,A1
1896,dirty,A1
2014,door,A1
2002,dog,A1
6161,shy,A1
6022,sell,A1
6016,self,A1
6164,side,A1
6168,sight,A1
1883,dinner,A1
1882,dining room,A1
6170,sign,A1
6005,see,A1
6162,sick,A1
6146,shoulder,A1
6145,should,A1
2001,does,A1
6104,shelf,A1
6093,share,A1
6080,shake,A1
6114,ship,A1
1934,dish,A1
6118,shirt,A1
3959,live,A1
6065,seventy,A1
6064,seventeen,A1
1927,discuss,A1
6124,shoe,A1
6063,seven,A1
6127,shop,A1
6057,set,A1
6135,shopping,A1
6137,short,A1
1995,do,A1
6043,September,A1
2030,down,A1
5766,rich,A1
6001,section,A1
1867,difficult,A1
2082,dry,A1
6217,six,A1
6218,sixteen,A1
6219,sixty,A1
6220,size,A1
2086,due,A1
1813,desk,A1
5954,scientist,A1
6214,site,A1
6232,skill,A1
1806,design,A1
6240,sky,A1
2101,DVD,A1
5950,science,A1
1801,describe,A1
2106,each,A1
2108,each other,A1
6239,skirt,A1
6213,sit,A1
6211,sister,A1
2080,drum,A1
1865,different,A1
1864,difference,A1
2048,drama,A1
5987,second,A1
1860,did,A1
1859,dictionary,A1
2053,draw,A1
5984,seat,A1
2058,dream,A1
2061,dress,A1
2065,drink,A1
2068,drive,A1
6201,sing,A1
2070,driver,A1
6202,singer,A1
2074,drop,A1
5976,sea,A1
6210,sir,A1
1869,dig,A1
5259,princess,A1
5765,rice,A1
5764,ribbon,A1
2562,feel,A1
2563,feeling,A1
5435,rabbit,A1
2571,festival,A1
2574,fever,A1
6716,sure,A1
5424,quiet,A1
6719,surf,A1
6697,supermarket,A1
5423,quickly,A1
2583,fifteen,A1
2585,fifty,A1
2586,fight,A1
6727,surprise,A1
5416,question,A1
2593,file,A1
5412,quarter,A1
2596,fill,A1
2581,field,A1
6737,survey,A1
2558,feed,A1
6691,sunshine,A1
6665,sugar,A1
5482,rat,A1
6667,suggestion,A1
2528,fast,A1
1435,contest,A1
2532,fat,A1
6675,sum,A1
6692,super,A1
6678,summer,A1
5463,rainy,A1
6680,sun,A1
6683,Sunday,A1
5457,rain,A1
6688,sunny,A1
2554,February,A1
5448,radio,A1
2536,father,A1
5397,put,A1
2609,find,A1
5396,push,A1
2685,flower,A1
6809,tall,A1
2694,fly,A1
2697,focus,A1
2699,foggy,A1
2706,following,A1
5280,problem,A1
6807,talk,A1
2712,food,A1
6829,tea,A1
6830,teach,A1
6831,teacher,A1
2718,football,A1
6833,team,A1
2722,for,A1
2730,foreign,A1
2731,foreigner,A1
6828,taxi,A1
2681,floor,A1
6800,take,A1
6787,table,A1
2611,fine,A1
5389,purple,A1
6757,sweet,A1
1361,concert,A1
2618,finish,A1
2620,fire,A1
6762,swim,A1
2632,first,A1
6765,swimming,A1
6767,swimming pool,A1
1347,computer,A1
2642,fish,A1
2645,fishing,A1
2650,five,A1
2654,flag,A1
2662,flat,A1
2517,farmer,A1
2516,farm,A1
2504,fan,A1
6651,successful,A1
2346,everywhere,A1
5666,reporter,A1
6528,step,A1
2365,example,A1
2369,excellent,A1
1565,credit card,A1
5655,repeat,A1
6539,still,A1
2345,everything,A1
2380,excited,A1
2383,exciting,A1
6553,stone,A1
6556,stop,A1
5639,remember,A1
6561,store,A1
2391,excuse,A1
6565,story,A1
1555,cream,A1
2344,everyone,A1
2343,everyday,A1
6515,stay,A1
5746,review,A1
6455,spot,A1
6462,spring,A1
6465,spy,A1
6478,stage,A1
1611,cup,A1
1610,culture,A1
5719,result,A1
6488,stand,A1
6495,star,A1
1599,cry,A1
5715,restaurant,A1
6498,start,A1
6510,station,A1
2335,evening,A1
2337,event,A1
2341,every,A1
2342,everybody,A1
2398,exercise,A1
6451,sport,A1
1539,cow,A1
1536,cousin,A1
1479,cop,A1
2487,fair,A1
5503,ready,A1
2490,fairy,A1
5502,reading,A1
1473,cool,A1
5500,reader,A1
1471,cookie,A1
5504,real,A1
5499,read,A1
1468,cook,A1
6634,subject,A1
2497,false,A1
5494,'re,A1
6648,subway,A1
1460,conversation,A1
2502,family,A1
2503,famous,A1
1482,copy,A1
5511,really,A1
1533,course,A1
6569,straight,A1
6576,strange,A1
2419,expensive,A1
1516,could,A1
6586,street,A1
1513,couch,A1
5552,red,A1
6595,strict,A1
2464,eye,A1
6608,strong,A1
1495,correct,A1
2471,face,A1
5514,reason,A1
6616,student,A1
1488,corner,A1
1487,corn,A1
2480,factory,A1
6619,study,A1
1537,cover,A1
728,blue,A1
6101,sheep,A1
3647,is,A1
7685,winter,A1
155,age,A1
4354,movie,A1
153,again,A1
4360,much,A1
7676,window,A1
7673,wind,A1
7672,win,A1
3810,laugh,A1
7666,will,A1
4369,mum,A1
150,afternoon,A1
425,at,A1
149,after,A1
7661,wife,A1
3825,lazy,A1
7644,white,A1
7646,who,A1
4401,name,A1
4393,my,A1
4350,move,A1
146,afraid,A1
7652,whose,A1
4384,must,A1
4383,musician,A1
7653,why,A1
3537,inside,A1
4380,music,A1
4416,nationality,A1
4349,mouth,A1
7691,wish,A1
4119,matter,A1
3799,late,A1
4312,more,A1
377,arrive,A1
4315,morning,A1
380,art,A1
7720,worker,A1
382,article,A1
7717,work,A1
7714,word,A1
10065,gray,A1
166,agree,A1
4324,most,A1
390,as,A1
7694,with,A1
4344,mountain,A1
4111,match,A1
3580,interested,A1
7705,woman,A1
3581,interesting,A1
4348,mouse,A1
4327,mother,A1
3804,later,A1
7708,wonderful,A1
10068,grey,A1
163,ago,A1
394,ask,A1
3829,leader,A1
4084,March,A1
3832,leaf,A1
495,back,A1
4490,nice,A1
4042,mail,A1
10132,math,A1
4494,night,A1
7607,were,A1
10133,maths,A1
4498,nine,A1
7600,well,A1
506,bad,A1
4499,nineteen,A1
4500,ninety,A1
7597,welcome,A1
511,bag,A1
4501,no,A1
4538,not,A1
4536,nose,A1
534,bank,A1
530,band,A1
529,banana,A1
3430,in,A1
7583,Wednesday,A1
93,address,A1
7587,weekend,A1
522,ball,A1
4035,magazine,A1
4510,noise,A1
7585,week,A1
3859,leg,A1
4482,newspaper,A1
490,baby,A1
7627,where,A1
469,autumn,A1
4432,near,A1
462,aunt,A1
10103,internet,A1
10112,jewelry,A1
461,August,A1
7632,which,A1
10102,Internet,A1
4078,many,A1
4080,map,A1
3499,information,A1
3598,interview,A1
10113,jewellery,A1
3841,learn,A1
4480,news,A1
7616,what,A1
4476,new,A1
483,away,A1
4474,never,A1
4440,neck,A1
7621,wheel,A1
478,awake,A1
4054,make,A1
3851,leave,A1
7623,when,A1
4063,man,A1
3855,left,A1
7574,weather,A1
7727,world,A1
4304,moon,A1
3750,knee,A1
3752,knife,A1
9946,aeroplane,A1
3757,know,A1
9945,airplane,A1
219,also,A1
3685,join,A1
287,another,A1
4150,medicine,A1
4217,milk,A1
289,answer,A1
3681,job,A1
216,already,A1
9938,AM,A1
9937,am,A1
9936,A.M.,A1
308,any,A1
4223,mind,A1
3674,jeans,A1
7786,you,A1
7787,young,A1
3748,kite,A1
10020,Dr.,A1
10019,doctor,A1
7789,yours,A1
7790,yourself,A1
3677,jet,A1
7797,zoo,A1
9935,a.m.,A1
7788,your,A1
210,along,A1
3747,kitchen,A1
4158,meet,A1
9988,colour,A1
9985,color,A1
3738,kind,A1
3731,kill,A1
3729,kid,A1
3728,kick,A1
3724,key,A1
4168,memory,A1
3719,keep,A1
254,an,A1
3713,just,A1
4183,merry,A1
3706,June,A1
4186,message,A1
3744,kiss,A1
230,always,A1
3742,king,A1
3696,judge,A1
272,animal,A1
4206,middle,A1
9963,cafe,A1
4159,meeting,A1
9964,café,A1
3700,juice,A1
3702,July,A1
265,and,A1
3704,jump,A1
270,angry,A1
309,anybody,A1
4226,mine,A1
209,alone,A1
4131,meal,A1
3783,language,A1
4265,mobile,A1
348,April,A1
349,apron,A1
187,album,A1
7751,would,A1
4130,me,A1
3786,large,A1
4266,mobile phone,A1
4128,maybe,A1
4127,May,A1
355,are,A1
4285,mom,A1
182,airport,A1
4126,may,A1
4286,moment,A1
3601,interviewer,A1
370,around,A1
3603,into,A1
7736,worry,A1
3606,introduce,A1
10048,favourite,A1
10030,E-mail,A1
4298,month,A1
363,arm,A1
10047,favorite,A1
4292,money,A1
4291,Monday,A1
4296,monkey,A1
4249,miss,A1
10029,e-mail,A1
10028,email,A1
3660,its,A1
7777,yellow,A1
7779,yes,A1
7780,yesterday,A1
7781,yet,A1
3769,lady,A1
207,almost,A1
4142,meat,A1
3663,jacket,A1
3668,January,A1
313,anything,A1
312,anyone,A1
10021,Dr,A1
3795,last name,A1
3658,item,A1
3655,it,A1
4248,Miss,A1
7760,write,A1
7761,writer,A1
3648,island,A1
4134,mean,A1
7773,year,A1
197,all,A1
4238,minute,A1
199,all right,A1
7764,wrong,A1
331,apple,A1
7769,yard,A1
7571,wear,A1
4443,need,A1
4005,lovely,A1
7513,waitress,A1
632,below,A1
3330,hurry,A1
10197,PM,A1
541,bar,A1
3911,light,A1
7512,waiter,A1
7511,wait,A1
4004,love,A1
4638,Olympics,A1
3324,hungry,A1
7500,vote,A1
4641,on,A1
646,beside,A1
657,between,A1
10213,programme,A1
655,better,A1
10212,program,A1
10211,practise,A1
3921,like,A1
7514,wake,A1
4645,one,A1
650,best,A1
7495,volleyball,A1
4642,once,A1
10196,pm,A1
4631,old,A1
3333,hurt,A1
607,bee,A1
7521,wall,A1
605,bedroom,A1
604,bed,A1
603,become,A1
4619,office,A1
608,beef,A1
601,because,A1
7527,want,A1
7528,war,A1
596,beautiful,A1
4014,luck,A1
7531,warm,A1
3351,idea,A1
3903,life,A1
4651,only,A1
3343,ice cream,A1
611,before,A1
626,bell,A1
625,believe,A1
7516,walk,A1
3334,husband,A1
622,behind,A1
10195,P.M.,A1
3342,ice,A1
10194,p.m.,A1
4625,often,A1
615,begin,A1
4620,officer,A1
3341,I,A1
661,bicycle,A1
3996,lot,A1
4708,other,A1
3955,little,A1
3254,home,A1
10253,theatre,A1
3256,hometown,A1
7428,vegetable,A1
12,about,A1
10252,theater,A1
3258,homework,A1
15,above,A1
4689,order,A1
7443,very,A1
698,blank,A1
3964,living room,A1
7426,vase,A1
726,blow,A1
4716,out,A1
10276,yoghurt,A1
3239,history,A1
4714,ours,A1
10275,yogurt,A1
10258,T-shirt,A1
4713,our,A1
3962,living,A1
3245,hold,A1
10259,tee-shirt,A1
3248,hole,A1
3249,holiday,A1
713,block,A1
3243,hobby,A1
3352,ideal,A1
3272,hope,A1
4682,orange,A1
3986,look,A1
3294,house,A1
3932,line,A1
4659,opera,A1
3301,how,A1
679,bird,A1
4656,open,A1
7483,visit,A1
665,bike,A1
664,big,A1
3925,lily,A1
3292,hour,A1
682,birthday,A1
4679,or,A1
693,black,A1
3946,listen,A1
3944,list,A1
7454,video,A1
681,birth,A1
3282,horse,A1
3285,hospital,A1
3290,hot,A1
3981,lonely,A1
3982,long,A1
684,biscuit,A1
3291,hotel,A1
3940,lion,A1
589,bear,A1
4028,'m,A1
575,bath,A1
7542,wash,A1
10159,Mr,A1
4019,lunch,A1
7541,was,A1
86,add,A1
10158,Mr.,A1
10157,mommie,A1
578,bathroom,A1
3365,if,A1
10156,mommy,A1
10177,okay,A1
10178,OK,A1
4605,o'clock,A1
583,be,A1
7562,way,A1
7563,we,A1
3407,important,A1
10161,Mrs,A1
564,baseball,A1
4567,nurse,A1
10167,neighbour,A1
3380,imagine,A1
77,activity,A1
74,action,A1
78,actor,A1
4557,now,A1
10160,Mrs.,A1
571,basketball,A1
7552,watch,A1
10166,neighbor,A1
572,bat,A1
7554,water,A1
3886,letter,A1
3885,let,A1
4029,machine,A1
4556,November,A1
4542,nothing,A1
4564,number,A1
4540,note,A1
588,bean,A1
4016,lucky,A1
4606,October,A1
4608,of,A1
3897,library,A1
4609,off,A1
584,beach,A1
4541,notebook,A1
3883,lesson,A1
4030,mad,A2
5955,scissors,A2
5667,represent,A2
2360,exam,A2
5664,report,A2
5560,refer,A2
5565,reflect,A2
5952,scientific,A2
2125,easily,A2
2355,exactly,A2
3766,lack,A2
3978,logical,A2
5662,reply,A2
3881,less,A2
5659,replace,A2
3941,lip,A2
2440,express,A2
2370,except,A2
3739,kindly,A2
3870,leisure,A2
3872,lemon,A2
2442,expression,A2
5676,request,A2
2095,dust,A2
5682,research,A2
2328,euro,A2
2454,extra,A2
5902,sandy,A2
2334,even,A2
5964,scream,A2
5909,satisfy,A2
3993,lost,A2
6029,send,A2
4135,meaning,A2
3991,lose,A2
6030,senior,A2
2011,done,A2
3988,loose,A2
2094,during,A2
2339,ever,A2
3776,land,A2
3773,lamp,A2
3770,lake,A2
6033,sense,A2
4050,major,A2
4047,mainly,A2
6039,separate,A2
4046,main course,A2
5911,sauce,A2
2347,evidence,A2
4146,medal,A2
5914,sausage,A2
3973,lock,A2
5652,repair,A2
2121,earth,A2
6077,shadow,A2
3746,kit,A2
5929,scarf,A2
2427,explain,A2
5618,release,A2
2128,east,A2
2404,exhibition,A2
5615,relaxed,A2
6066,several,A2
3743,kingdom,A2
2426,expert,A2
2406,exist,A2
2122,earthquake,A2
5613,relax,A2
2414,expect,A2
6076,shade,A2
5933,scene,A2
5945,schoolchild,A2
5596,regularly,A2
1975,disturb,A2
3965,load,A2
6070,sew,A2
5595,regular,A2
5593,regret,A2
2420,experience,A2
5630,remain,A2
4148,medical,A2
2428,explanation,A2
2377,exchange,A2
2117,earn,A2
5934,scenery,A2
3970,local,A2
6049,seriously,A2
4161,melon,A2
5648,rent,A2
1992,dizzy,A2
5949,schoolwork,A2
3873,lemonade,A2
3874,lend,A2
3759,knowledge,A2
5921,scale,A2
4037,magic,A2
6090,shape,A2
5643,remote,A2
6051,serve,A2
5641,remind,A2
5710,response,A2
6089,shampoo,A2
6085,shall,A2
1984,divide,A2
2120,earring,A2
5572,refrigerator,A2
3754,knock,A2
2432,explore,A2
4090,mark,A2
2317,establish,A2
5814,romantic,A2
2054,drawer,A2
2055,drawing,A2
5815,roof,A2
4006,lover,A2
3907,lifestyle,A2
2239,ending,A2
2237,endangered,A2
3805,latest,A2
3807,latter,A2
2079,drugstore,A2
2078,drug,A2
3895,liberty,A2
5813,romance,A2
5860,rush,A2
5810,roll,A2
5868,sadly,A2
4020,lunchtime,A2
2174,elderly,A2
5881,sake,A2
5879,sailing,A2
5800,roast,A2
5971,script,A2
5801,rob,A2
5802,robbery,A2
4066,manager,A2
5803,robin,A2
2247,energetic,A2
4070,manner,A2
2178,electric,A2
5871,safe,A2
5805,rock,A2
4114,material,A2
5977,seafood,A2
5819,root,A2
5979,search,A2
5845,rugby,A2
5857,running,A2
5856,runner,A2
5847,ruin,A2
4096,married,A2
2206,embarrassing,A2
3824,laziness,A2
3815,law,A2
4015,luckily,A2
4092,market,A2
3820,lawyer,A2
2201,elsewhere,A2
2212,emergency,A2
3902,lie,A2
5836,royal,A2
2193,elevator,A2
2230,encourage,A2
5981,seaside,A2
4008,low,A2
2192,elephant,A2
5820,rope,A2
2063,dressed,A2
2064,drill,A2
2225,empty,A2
5825,roughly,A2
5827,round,A2
5831,roundabout,A2
3827,lead,A2
4097,marry,A2
5966,screen,A2
3842,learner,A2
5795,road,A2
5735,return,A2
5739,reunion,A2
2293,episode,A2
5740,reveal,A2
2155,education,A2
2025,doubt,A2
2156,educational,A2
5897,sample,A2
6007,seek,A2
2291,envy,A2
2158,effect,A2
2285,envelope,A2
3782,lane,A2
5761,rhythm,A2
5729,retired,A2
3780,landscape,A2
6024,semester,A2
2151,editor,A2
2312,essay,A2
2311,especially,A2
5968,screw,A2
3858,left-hand,A2
2309,escape,A2
2308,escalator,A2
3922,likely,A2
2021,double,A2
2305,error,A2
5728,retire,A2
6008,seem,A2
6006,seed,A2
4026,lyric,A2
2282,entrance,A2
3849,leather,A2
2265,enough,A2
5998,secret,A2
3847,least,A2
4060,male,A2
4061,mall,A2
2262,enormous,A2
4064,manage,A2
5549,recycle,A2
2038,downtown,A2
2037,downstairs,A2
2164,effort,A2
2084,duck,A2
4055,maker,A2
4000,loudly,A2
3889,level,A2
3791,last,A2
2274,entertainment,A2
2034,download,A2
4123,max,A2
5892,salt,A2
5779,right-hand,A2
5999,secretary,A2
2269,enter,A2
4056,make-up,A2
5937,schedule,A2
4717,out of,A2
2462,extremely,A2
4550,noun,A2
3406,importance,A2
2977,grace,A2
5001,photograph,A2
5003,photographer,A2
5004,photography,A2
2972,government,A2
3408,importantly,A2
4543,notice,A2
5007,physical,A2
5008,physically,A2
3411,impossible,A2
3413,impress,A2
2961,good-looking,A2
3424,improve,A2
4527,north,A2
2954,golf,A2
2953,golden,A2
5025,pile,A2
4553,novel,A2
5026,pilgrim,A2
2983,gradually,A2
2991,grandchild,A2
4953,performance,A2
4955,perfume,A2
4956,perhaps,A2
4601,occupation,A2
3369,ill,A2
3021,greedy,A2
3019,greatly,A2
4962,permission,A2
3370,illegal,A2
4970,personality,A2
3010,grateful,A2
3376,image,A2
3379,imagination,A2
4575,oak,A2
4985,petrol station,A2
3000,granny,A2
2999,grandson,A2
3392,impact,A2
4559,nowadays,A2
3395,impatient,A2
2993,granddaughter,A2
2992,granddad,A2
2985,graduate,A2
3031,grilled,A2
5027,pill,A2
4521,noon,A2
5074,pleasing,A2
4468,net,A2
5076,plenty,A2
3479,inexpensive,A2
2893,gentle,A2
5084,plural,A2
5087,plus,A2
4464,nervous,A2
4449,negative,A2
2884,generation,A2
2876,gender,A2
5103,police,A2
5104,police officer,A2
5105,police station,A2
5106,policeman,A2
2870,gather,A2
5107,policewoman,A2
2868,gate,A2
2866,gas,A2
5111,polite,A2
2864,garlic,A2
5073,pleased,A2
4523,normal,A2
5069,pleasant,A2
5064,playful,A2
5030,pilot,A2
3437,inch,A2
4512,noisy,A2
3440,include,A2
2941,glove,A2
4507,nobody,A2
4503,no one,A2
3446,increase,A2
2935,globe,A2
5044,pity,A2
3453,indeed,A2
3456,independence,A2
5053,planet,A2
5055,plant,A2
4488,next to,A2
2918,given,A2
5057,plastic,A2
3461,indicate,A2
4485,next,A2
5059,plate,A2
3469,indoor,A2
5065,playground,A2
4952,perform,A2
4951,perfectly,A2
4950,perfect,A2
3181,heating,A2
3178,heat,A2
4799,pacific,A2
3281,horror,A2
4800,pack,A2
4670,opposite,A2
3288,host,A2
3162,headteacher,A2
3160,headphone,A2
4666,oppose,A2
4815,painter,A2
4665,opportunity,A2
4663,opinion,A2
4660,operate,A2
4819,pal,A2
3302,however,A2
3144,hate,A2
4824,pan,A2
3304,hug,A2
3184,heavily,A2
4828,panic,A2
3263,honey,A2
4715,ourselves,A2
3229,himself,A2
3241,hit,A2
3244,hockey,A2
3225,hiking,A2
3224,hike,A2
3221,highway,A2
3216,high school,A2
3210,hey,A2
4752,oven,A2
3207,herself,A2
3205,hero,A2
4707,orphan,A2
3196,helpful,A2
4701,original,A2
4771,overseas,A2
4780,overweight,A2
3135,harvest,A2
3132,harmony,A2
3307,human,A2
4873,passage,A2
4874,passenger,A2
4884,pasta,A2
4888,path,A2
4626,oil,A2
3068,gun,A2
4891,patient,A2
4621,official,A2
3060,guidebook,A2
4909,PC,A2
4910,pea,A2
3051,guard,A2
4912,peaceful,A2
4917,pear,A2
4617,offer,A2
4933,pence,A2
3349,ID,A2
3350,ID card,A2
4944,pepper,A2
3036,grocery store,A2
4872,pass,A2
4634,olive oil,A2
3327,hunter,A2
3130,harmful,A2
3129,harm,A2
3124,hardly,A2
4650,online,A2
3118,happiness,A2
3117,happily,A2
4648,onion,A2
4854,part,A2
5114,political,A2
3105,handle,A2
3102,handicapped,A2
3098,handbag,A2
3322,hundred,A2
3092,ham,A2
3090,half-price,A2
4637,Olympic,A2
4865,partly,A2
5542,record,A2
2859,garage,A2
4438,necessary,A2
5393,pursue,A2
2604,finally,A2
2603,final,A2
5405,quality,A2
2598,film,A2
3666,jam,A2
5413,queen,A2
4228,mineral water,A2
2592,figure,A2
2588,fighter,A2
5422,quick,A2
2579,fiction,A2
2576,few,A2
5426,quietly,A2
5428,quit,A2
5429,quite,A2
5430,quiz,A2
2568,fence,A2
2566,female,A2
3675,jelly,A2
5390,purpose,A2
3661,itself,A2
5379,punctuation,A2
4254,mistake,A2
2682,flour,A2
4251,missing,A2
5314,promise,A2
2679,flood,A2
2676,float,A2
2674,flight,A2
5323,pronounce,A2
5324,pronunciation,A2
5326,proper,A2
2667,flea,A2
2651,fix,A2
5350,provide,A2
